date,type,description
2009-02-28,WEEKEND,Saturday
2009-03-01,WEEKEND,Sunday
2009-03-07,WEEKEND,Saturday
2009-03-08,WEEKEND,Sunday
2009-03-14,WEEKEND,Saturday
2009-03-15,WEEKEND,Sunday
2009-03-21,WEEKEND,Saturday
2009-03-22,WEEKEND,Sunday
2009-03-28,WEEKEND,Saturday
2009-03-29,WEEKEND,Sunday
2009-04-04,WEEKEND,Saturday
2009-04-05,WEEKEND,Sunday
2009-04-11,WEEKEND,Saturday
2009-04-12,WEEKEND,Sunday
2009-04-18,WEEKEND,Saturday
2009-04-19,WEEKEND,Sunday
2009-04-25,WEEKEND,Saturday
2009-04-26,WEEKEND,Sunday
2009-05-02,WEEKEND,Saturday
2009-05-03,WEEKEND,Sunday
2009-05-09,WEEKEND,Saturday
2009-05-10,WEEKEND,Sunday
2009-05-16,WEEKEND,Saturday
2009-05-17,WEEKEND,Sunday
2009-05-23,WEEKEND,Saturday
2009-05-24,WEEKEND,Sunday
2009-05-25,CLOSED,Memorial Day
2009-05-30,WEEKEND,Saturday
2009-05-31,WEEKEND,Sunday
2009-06-06,WEEKEND,Saturday
2009-06-07,WEEKEND,Sunday
2009-06-13,WEEKEND,Saturday
2009-06-14,WEEKEND,Sunday
2009-06-20,WEEKEND,Saturday
2009-06-21,WEEKEND,Sunday
2009-06-27,WEEKEND,Saturday
2009-06-28,WEEKEND,Sunday
2009-07-04,CLOSED,Independence Day
2009-07-05,WEEKEND,Sunday
2009-07-11,WEEKEND,Saturday
2009-07-12,WEEKEND,Sunday
2009-07-18,WEEKEND,Saturday
2009-07-19,WEEKEND,Sunday
2009-07-25,WEEKEND,Saturday
2009-07-26,WEEKEND,Sunday
2009-08-01,WEEKEND,Saturday
2009-08-02,WEEKEND,Sunday
2009-08-08,WEEKEND,Saturday
2009-08-09,WEEKEND,Sunday
2009-08-15,WEEKEND,Saturday
2009-08-16,WEEKEND,Sunday
2009-08-22,WEEKEND,Saturday
2009-08-23,WEEKEND,Sunday
2009-08-29,WEEKEND,Saturday
2009-08-30,WEEKEND,Sunday
2009-09-05,WEEKEND,Saturday
2009-09-06,WEEKEND,Sunday
2009-09-07,CLOSED,Labor Day
2009-09-12,WEEKEND,Saturday
2009-09-13,WEEKEND,Sunday
2009-09-19,WEEKEND,Saturday
2009-09-20,WEEKEND,Sunday
2009-09-26,WEEKEND,Saturday
2009-09-27,WEEKEND,Sunday
2009-10-03,WEEKEND,Saturday
2009-10-04,WEEKEND,Sunday
2009-10-10,WEEKEND,Saturday
2009-10-11,WEEKEND,Sunday
2009-10-17,WEEKEND,Saturday
2009-10-18,WEEKEND,Sunday
2009-10-24,WEEKEND,Saturday
2009-10-25,WEEKEND,Sunday
2009-10-31,WEEKEND,Saturday
2009-11-01,WEEKEND,Sunday
2009-11-07,WEEKEND,Saturday
2009-11-08,WEEKEND,Sunday
2009-11-14,WEEKEND,Saturday
2009-11-15,WEEKEND,Sunday
2009-11-21,WEEKEND,Saturday
2009-11-22,WEEKEND,Sunday
2009-11-26,CLOSED,Thanksgiving Day
2009-11-28,WEEKEND,Saturday
2009-11-29,WEEKEND,Sunday
2009-12-05,WEEKEND,Saturday
2009-12-06,WEEKEND,Sunday
2009-12-12,WEEKEND,Saturday
2009-12-13,WEEKEND,Sunday
2009-12-19,WEEKEND,Saturday
2009-12-20,WEEKEND,Sunday
2009-12-25,CLOSED,Christmas Day
2009-12-26,WEEKEND,Saturday
2009-12-27,WEEKEND,Sunday
2010-01-01,CLOSED,New Year's Day
2010-01-02,WEEKEND,Saturday
2010-01-03,WEEKEND,Sunday
2010-01-09,WEEKEND,Saturday
2010-01-10,WEEKEND,Sunday
2010-01-16,WEEKEND,Saturday
2010-01-17,WEEKEND,Sunday
2010-01-23,WEEKEND,Saturday
2010-01-24,WEEKEND,Sunday
2010-01-30,WEEKEND,Saturday
2010-01-31,WEEKEND,Sunday
2010-02-06,WEEKEND,Saturday
2010-02-07,WEEKEND,Sunday
2010-02-13,WEEKEND,Saturday
2010-02-14,WEEKEND,Sunday
2010-02-20,WEEKEND,Saturday
2010-02-21,WEEKEND,Sunday
2010-02-27,WEEKEND,Saturday
2010-02-28,WEEKEND,Sunday
2010-03-06,WEEKEND,Saturday
